id,party,party_name,party_id,position,eu_salience,eu_dissent,eu_blur,lrecon,lrecon_blur,lrecon_dissent,lrecon_salience,galtan,galtan_blur,galtan_dissent,galtan_salience,lrgen,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,eu_cohesion,eu_foreign,eu_intmark,eu_budgets,eu_asylum,party_a_econ,party_b_econ,party_c_econ,gender,dob,lrecon_self,galtan_self,cname,eu_position_sd,lrecon_sd,galtan_sd,eu_econ_require,eu_political_require,eu_googov_require
12,1,PS,102,6,8,3,,2,3,,8,3,3,,7,2,2,3,5,5,3,4,2,7,4,6,2,3,2,2,1,2,3,3,2,6,3,,.d,2,1,7,7,7,7,6,6,5,3,9,6,2,1987,4,2,bel,.28867513,.62158155,1.3789544,,,
8,1,PS,102,6,,,1,2,0,,9,2,1,,3,2,3,5,2,3,5,4,2,9,3,6,2,2,0,2,1,,1,2,,4,6,0,.d,3,2,0,8,,,,,,2,10,7,2,1966,3,1,bel,.28867513,.62158155,1.3789544,,,
7,2,SP/SPA,103,6,5,,2,3,1,,7,2,1,,3,4,2,3,3,1,3,1,1,8,,3,2,2,1,3,2,0,2,3,3,7,6,0,0,,0,0,6,6,6,4,,6,3,9,7,2,1986,7,5,bel,.42640144,.51492864,1.1381804,,,
4,2,SP/SPA,103,6,2,,3,3,,3,7,3,3,,7,3,5,3,5,3,,,3,7,3,,4,,,4,,,,4,,,5,,,3,,,,,,,,,3,9,6,2,1974,5,4,bel,.42640144,.51492864,1.1381804,,,
3,2,SP/SPA,103,5,3,3,,4,2,,7,3,3,,2,4,5,6,4,4,6,3,4,7,4,5,3,3,4,4,4,2,4,5,4,6,4,0,3,4,4,3,7,,4,3,3,4,3,10,5,2,1983,7,3,bel,.42640144,.51492864,1.1381804,,,
1,2,SP/SPA,103,6,6,,2,3,,2,9,3,,2,7,3,5,3,3,2,3,3,1,9,7,3,4,1,1,6,1,1,1,1,1,6,5,1,2,3,2,2,8,6,5,5,3,5,2,10,7,2,1971,3,2,bel,.42640144,.51492864,1.1381804,,,
12,2,SP/SPA,103,6,7,3,,3,3,,8,5,3,,7,3,4,6,5,5,6,4,3,6,4,5,2,3,3,3,2,2,3,4,2,6,3,,.d,2,1,7,7,7,7,6,6,5,3,9,6,2,1987,4,2,bel,.42640144,.51492864,1.1381804,,,
6,2,SP/SPA,103,6,4,,2,3,1,,8,2,1,,5,3,3,6,2,2,6,2,1,8,6,6,3,2,2,2,1,1,2,2,3,7,6,0,0,7,3,3,5,6,6,5,4,6,4,9,7,1,1994,6,3,bel,.42640144,.51492864,1.1381804,,,
8,2,SP/SPA,103,6,,,1,3,0,,8,2,1,,3,3,4,5,5,5,5,6,2,9,3,6,2,2,0,2,1,,1,2,,4,6,0,.d,3,2,0,7,,,,,,2,10,7,2,1966,3,1,bel,.42640144,.51492864,1.1381804,,,
11,2,SP/SPA,103,6,7,,,4,2,,7,2,,,5,3,4,4,,4,5,,3,7,4,5,3,,3,5,3,2,3,3,2,6,6,0,1,4,2,1,2,,,,,,2,10,6,1,1987,5,4,bel,.42640144,.51492864,1.1381804,,,
